"","day","Measure","ParameterGroup","Mean","median","sd","sem"
"120","3days","FLBR_RATIO","SynchrCycle_downPersp",0.259022318930655,0.211267605633803,0.101730904399583,0.04549544353
"121","3days","FRBL_RATIO","SynchrCycle_downPersp",0.349767778238944,0.325153374233129,0.136905356748364,0.0612259368346405
"122","3days","l-back-ankle__Average_Height","VerticalHeight_Analysis_sidePersp",0.74099035738761,0.631416774709014,0.626587929573008,0.280218640881219
"123","3days","l-back-ankle__Movement","VerticalHeight_Analysis_sidePersp",0.384656352807896,1.08347299960034,1.01620955090899,0.454462727043405
"124","3days","l-back-toe__Average_Height","VerticalHeight_Analysis_sidePersp",-0.0611250738539419,-0.0208419850485266,0.0873080312995236,0.0390453385934828
"125","3days","l-back-toe__Movement","VerticalHeight_Analysis_sidePersp",-0.455700838111894,-0.430984326001997,0.248720972657144,0.111231400458248
"126","3days","l-elbow__Average_Height","VerticalHeight_Analysis_sidePersp",-0.0991542253680667,-0.0921688148861601,0.0825835709557348,0.03693249569634
"127","3days","l-elbow__Movement","VerticalHeight_Analysis_sidePersp",-0.308988727813153,-0.362550624334715,0.181792745169357,0.0813001872029957
"128","3days","l-front-toe-tip__Average_Height","VerticalHeight_Analysis_sidePersp",-0.246661912404909,-0.180453304898856,0.189573609116551,0.0847798953449164
"129","3days","l-front-toe-tip__Movement","VerticalHeight_Analysis_sidePersp",-0.490799226571812,-0.450993040042042,0.331354969225641,0.148186447174177
"130","3days","l-head__Average_Height","VerticalHeight_Analysis_sidePersp",-0.517345104382218,-0.577278468509429,0.141497308448748,0.0632795200649312
"131","3days","l-head__Movement","VerticalHeight_Analysis_sidePersp",-1.92874426638059,-2.08135696201248,0.686825985057208,0.307157918260234
"132","3days","l-hip__Average_Height","VerticalHeight_Analysis_sidePersp",-0.0359019406755881,-0.00972062342033559,0.0646537872854676,0.0289140526746234
"133","3days","l-hip__Movement","VerticalHeight_Analysis_sidePersp",-0.218035371408293,-0.0754798468100725,0.302997403176982,0.135504558101928
"134","3days","l-iliac-crest__Average_Height","VerticalHeight_Analysis_sidePersp",0.0991143982323535,0.191731634079931,0.186534742938597,0.0834208730752302
"135","3days","l-iliac-crest__Movement","VerticalHeight_Analysis_sidePersp",-0.168725165009718,-0.0286257859078912,0.346059956593799,0.154762717446872
"136","3days","l-shoulder__Average_Height","VerticalHeight_Analysis_sidePersp",-0.0245526521130064,-0.0302169439960719,0.13832916786848,0.0798643823056439
"137","3days","l-shoulder__Movement","VerticalHeight_Analysis_sidePersp",-0.175626071016509,-0.267059600282514,0.190484275237936,0.109976147585013
"138","3days","l-tail-base__Average_Height","VerticalHeight_Analysis_sidePersp",-0.0261395923198263,-0.0651009170399851,0.103039586057777,0.0460807037597257
"139","3days","l-tail-base__Movement","VerticalHeight_Analysis_sidePersp",-0.207659471975372,-0.190452304221764,0.203331067020813,0.0909324175592205
"140","3days","l-wrist__Average_Height","VerticalHeight_Analysis_sidePersp",-0.55722990646797,-0.372614877579881,0.341759993035,0.152839715283223
"141","3days","l-wrist__Movement","VerticalHeight_Analysis_sidePersp",-0.93197198359288,-0.560734346703043,0.5407820166538,0.241845070049464
"142","3days","LB__avg_Angle","Angles_downPersp",47.8177369745733,47.8747598289254,2.93513306918464,1.31263141314089
"143","3days","LB__max_Angle","Angles_downPersp",80.6008481833411,81.8338711441022,2.22022785349018,0.992916081188498
"144","3days","LB__min_Angle","Angles_downPersp",19.2441941454647,21.1645705558317,5.78472755743231,2.58700880994699
"145","3days","left__back__average","ProtractionRetraction_sidePrsp",-1.65210146440095,-1.56715038165809,1.49972470526074,0.670697277699769
"146","3days","left__back__median","ProtractionRetraction_sidePrsp",-2.64250084444691,-2.28609909175792,2.07877540910546,0.929656624942948
"147","3days","left__back__movement_per_step","moement_per_step_sidePersp",119.945128046296,119.97449263594,7.47662609367342,3.3436488375605
"148","3days","left__back__protraction","ProtractionRetraction_sidePrsp",0.922159823675555,0.789826587961072,0.658170727785284,0.294342897625681
"149","3days","left__back__retraction","ProtractionRetraction_sidePrsp",-1.97277027814516,-1.77794214744754,1.28224204292412,0.573436074317307
"150","3days","left__back__seconds","duration_step_sidePersp",0.338333333333333,0.308333333333333,0.0730296743340222,0.032659863237109
"151","3days","left__front__average","ProtractionRetraction_sidePrsp",-0.609687693753543,-0.460550023829318,1.10619316392107,0.494704622154616
"152","3days","left__front__median","ProtractionRetraction_sidePrsp",-0.83172756396603,-0.460898744274669,0.740231705424649,0.331041682486023
"153","3days","left__front__protraction","ProtractionRetraction_sidePrsp",0.767083632244327,1.54446493581227,1.40345108162109,0.627642404320074
"154","3days","left__front__retraction","ProtractionRetraction_sidePrsp",-2.11608206241051,-1.57825379922686,1.83104018664373,0.818866065373858
"155","3days","left__front__seconds","duration_step_sidePersp",0.35,0.316666666666667,0.0790569415042095,0.0353553390593274
"156","3days","LF__avg_Angle","Angles_downPersp",41.7956848185355,40.9498641437058,2.56877619389514,1.14879163770654
"157","3days","LF__max_Angle","Angles_downPersp",75.3454198026385,75.7171509088021,2.57310053929422,1.15072554376065
"158","3days","LF__min_Angle","Angles_downPersp",21.0972722269876,20.0237983043367,3.41897169833393,1.52901062612451
"159","3days","max_Angle__left__back__hip_ankle_toe","angles_horizontal_sidePersp",82.6399607664466,96.1724060729576,27.9274951535375,12.4895555209212
"160","3days","max_Angle__left__back__iliac_hip_ankle","angles_horizontal_sidePersp",115.429484060443,111.857135323386,8.14901866395748,3.64435193650469
"161","3days","max_Angle__left__front__ellbow_wrist_toetip","angles_horizontal_sidePersp",94.373838896582,98.0261753437154,10.1695788175188,4.5479739077028
"162","3days","max_Angle__left__front__shoulder_ellbow_wrist","angles_horizontal_sidePersp",85.291476540297,85.9266902317799,5.26980235137621,2.35672725713309
"163","3days","max_Angle__right__back__hip_ankle_toe","angles_horizontal_sidePersp",70.9520252174796,77.0135498757166,19.1152347134572,8.54859284503082
"164","3days","max_Angle__right__back__iliac_hip_ankle","angles_horizontal_sidePersp",119.38582687607,118.435757477697,1.71825921070706,0.768428879621225
"165","3days","max_Angle__right__front__ellbow_wrist_toetip","angles_horizontal_sidePersp",84.4307542810921,87.0810228429525,8.93703620443743,3.99676409409976
"166","3days","max_Angle__right__front__shoulder_ellbow_wrist","angles_horizontal_sidePersp",93.3019244521454,93.1827089989961,5.38860925994057,2.40985932188239
